5YQK856|2000-04-16|Congo|Southam
HMN-618|1986-07-31|Tunisia|Sparks
WSV-564|1996-08-28|Pitcairn Islands|Sandy Ridge
RGF-757|1981-09-12|Mauritius|Dungannon
LCT-143|1996-05-17|Bangladesh|Mexican Springs
3NCK727|1982-12-04|Maldives|Ten Mile
7BDC358|1998-05-09|Poland|Montmorenci
QJV-8439|2014-01-05|Reunion|Sugar Hill
XES-6863|2013-09-10|Belize|Bernstadt
LKZ-316|2006-10-22|Cyprus|Lucy
KEH-5326|1990-10-31|Panama|Bristow
MGM-4802|1989-04-04|Kiribati|Cross Roads
BPT-2567|1993-11-09|Tajikistan|Wood-Ridge
BBP-665|1993-02-03|United States Virgin Islands|Liscomb
FDV-1019|2001-12-14|Falkland Islands (Malvinas)|Roseau
RXD-0539|1973-05-06|Saint Barthelemy|Lamoni
NYQ-819|1974-05-03|Saint Helena|Nunaka Valley
JAN-802|1975-10-07|Vietnam|Jensen Beach
UDQ-845|1988-03-01|Guatemala|Woodport
TSV-8104|2009-01-28|Japan|Tupelo
2ERU975|2001-12-16|Tonga|Weinert
LWR-441|1974-10-21|Saint Barthelemy|Arcata
FEK-769|1970-08-19|Ukraine|Snelling
BWT-456|1995-01-16|Malawi|Cairo
IGL-6676|2005-02-15|Marshall Islands|Braselton
1AIH494|2002-03-02|China|Boardman
TWW-1675|1991-04-29|Congo|East Butler
XXC-432|1993-11-07|Thailand|North Sioux City
9HKL484|1983-12-11|Estonia|House Springs
SNN-3585|1997-04-15|Mauritius|Keokee
CFO-4348|1982-11-06|Mauritania|Fern Crest Village
QKV-7114|2007-05-05|Cape Verde|Tidewater
9RVS388|1979-02-25|Croatia|Verona
XLJ-612|2008-08-26|Eritrea|Chautauqua
UAK-833|1972-10-09|Mauritania|Saint Lucie
7SQR296|1979-06-30|Myanmar|Ensign
4VBE923|1991-09-08|Colombia|Mayoworth
PIO-5836|1978-01-05|Puerto Rico|Secaucus
PUU-543|2016-07-24|Peru|Vernonburg
GHM-204|1986-08-11|Isle of Man|Trevorton
IGJ-6643|2011-04-02|Papua New Guinea|Bucyrus
9JPB632|1999-05-24|Nicaragua|Deltaville
XBG-356|1992-06-15|Sri Lanka|New Brunswick
CWN-4132|2010-12-28|Burundi|Butlerville
PQX-4638|1975-01-21|Togo|Tabor City
FUN-227|1970-11-21|Moldova|Old Mill Creek
7XKG423|1972-05-30|Andorra|Howes Mill
RTU-839|2015-08-23|Estonia|Whitefish
6LTN273|2004-05-22|Poland|Lakehurst
EJE-8580|1994-01-25|Congo|Rohnerville
SRB-2668|1970-04-26|Cook Islands|Mulliken
1EEY889|1999-07-16|Sweden|Jamesville
RLQ-924|2002-10-12|Barbados|Tigerton
HCY-6688|2007-10-16|Latvia|Calumet Park
RDZ-806|2003-10-12|Greenland|Lost River
SNS-5934|1979-02-12|Luxembourg|Brookeville
7QNH298|1999-05-09|Cayman Islands|Eagleville
4MUW369|1978-07-24|Tanzania|Melbourne Beach
BGP-0613|2003-10-26|Andorra|McCullom Lake
IIL-3199|1988-07-29|Singapore|Noatak
TGS-7551|2014-12-11|Kyrgyz Republic|Landersville
ACV-6664|2011-02-05|Sao Tome and Principe|Quinwood
5XWU937|1986-11-04|Portugal|Harrison City
EFU-137|1970-08-02|Congo|Harmon
ILX-8105|2006-04-24|Maldives|Wayzata
9FUI299|1980-01-28|United States Minor Outlying Islands|Similk Beach
TZO-501|1982-10-13|Germany|Strathcona
PHC-883|2015-02-14|Anguilla|Leoti
SIB-521|2006-08-11|French Guiana|Homestead
ZIC-7129|1992-03-08|Myanmar|Crum
JRM-1634|1993-09-14|Ethiopia|Herrings
YNP-145|2004-09-29|Saint Helena|Long Prairie
XOJ-276|1990-08-18|Christmas Island|Babbie
MVM-9467|1999-08-04|Djibouti|Bylas
MBU-9516|1987-05-11|American Samoa|Mabelvale
3XVA656|1977-01-17|Costa Rica|Brawley
MTG-1660|2000-10-22|Algeria|Firestone
3ZIT326|1974-04-12|Isle of Man|Livermore
2YRV612|2018-10-19|Afghanistan|Port Mansfield
9QTS533|2013-02-19|Portugal|Social Hill
BTC-3683|2005-02-08|United Arab Emirates|Addis
THV-244|2001-07-19|Mayotte|Goodwine
3XWC694|1990-02-18|Cote d'Ivoire|Waurika
6KUP524|1992-02-26|Antigua and Barbuda|High Ridge
HTW-885|2015-12-12|Belize|South Walpole
SGE-5316|1996-07-16|Sweden|Olaton
PBJ-878|1991-09-02|Belarus|Westmoreland City
5WCH783|2005-12-21|Cote d'Ivoire|Horseheads
1ZMK346|2012-04-18|Samoa|Elizaville
KKP-6781|1977-12-03|Norway|Hoople
GQO-333|1984-01-17|Liberia|Jamesburg
9ORX749|2008-12-11|Yemen|Dannebrog
JPM-5774|1986-11-13|Congo|Evensville
MST-077|1998-03-20|Japan|Murtaugh
ZBT-876|2010-02-15|Mozambique|Portageville
MKD-532|2000-07-25|Niue|Sweet Briar Station
8LJT885|2018-09-09|Azerbaijan|Habersham
INF-5443|1978-12-19|Cuba|Furman
MMR-981|1971-09-18|Monaco|Berryville
ZND-0593|1996-04-22|Mexico|Gulf Park Estates
3OYI838|1995-02-12|Singapore|Kealakekua
LCS-9779|1973-12-10|Guadeloupe|Crabapple
2WKA135|1977-04-21|Hungary|Lisbon Falls
GLO-6486|1989-03-06|Sweden|Darlington
5PZL126|1981-03-21|Guinea|Frances
RMK-827|1994-06-20|Syrian Arab Republic|Glen Allen
MBQ-2812|1984-08-22|Japan|Sewanee
5OVI761|1996-08-07|Ukraine|Painesville
4RYH939|2018-05-10|Nigeria|Solomons
5PKS446|1985-03-12|Anguilla|East Palo Alto
9DGY862|1973-02-03|Lao People's Democratic Republic|Mount Gretna
RJY-756|2017-07-21|Guam|Gay
1RBO251|2015-06-17|Rwanda|City View
7XKV433|2000-01-20|Azerbaijan|Sleepy Hollow
IDF-8086|2018-04-10|Senegal|Disautel
PFU-369|1993-07-22|Sierra Leone|North Redwood
5MMD471|2004-10-12|Greece|Maybee
TKT-7447|2013-02-25|Serbia|Tollhouse
WGX-076|2005-08-26|Ukraine|Cottonwood Point
3KHR136|2008-07-28|Morocco|Alcester
LAR-3637|1980-10-23|Korea|Bethel Acres
8LZR759|1988-02-16|Greece|Limerick
ZBP-407|2006-12-10|Central African Republic|Potter Lake
AWD-9442|2016-09-15|Spain|Alco
HRT-0124|2001-03-09|Papua New Guinea|Hawk Inlet
HGY-208|2012-06-09|Micronesia|Bigbee Valley
TFG-4729|1984-11-04|Brunei Darussalam|Spofford
3EOA521|1975-02-16|Sweden|Buffalo Springs
MRU-2364|2005-06-17|Jamaica|Bonneau
9KPM849|1992-09-06|Jordan|New England
2FMT642|2014-07-13|Bolivia|Maunie
VSF-6204|1975-07-12|Dominica|Greeneville
8CSM537|1977-09-09|Indonesia|Cisne
NYX-3405|2004-11-12|Macedonia|Weissport
