RKR-936|1981-10-22|2812
9UJQ916|1996-11-27|1584
JLX-081|1988-08-06|1159
4YVJ346|1977-02-02|3628
SDT-823|1972-03-10|3283
DET-3012|1992-09-27|854
JHF-5979|1978-08-11|2277
KEE-7040|1991-12-22|168
XDA-4985|1995-09-26|796
HFL-177|1988-10-26|3863
KFP-918|1992-05-11|1331
9DKF486|1970-06-30|3194
YPS-9739|1996-09-06|4430
BJL-3761|1974-05-15|3517
YXP-0468|1993-09-19|3492
2RFX643|1984-01-16|4161
6FJO567|2005-07-22|1385
9DVN224|1999-09-10|3318
9YDV619|1970-10-19|3382
MUQ-5993|1983-03-15|3877
BXW-453|2017-07-16|1366
5MPF892|1971-10-11|3020
7GAS583|1993-05-30|537
NQX-617|1974-07-21|2134
GDU-2839|2012-12-31|3952
MZL-445|2018-04-17|489
5VDB841|1982-12-03|4079
HMC-9425|1999-04-25|979
YOF-8651|1987-08-28|2457
AJQ-8522|2003-12-29|4652
FUM-824|1977-03-07|4100
TST-3535|2005-07-17|4594
KZA-466|2001-02-19|646
5FYN813|1986-10-11|4660
ORI-5929|1972-10-15|1761
6JXX876|2013-05-19|203
4KYT344|1984-05-12|2842
SVK-9513|1984-10-22|1118
LOO-023|1992-12-08|1406
EPW-7618|2000-07-21|4020
MHD-2100|1993-01-24|351
6QUP586|1992-07-17|4866
8LYX795|2003-11-02|1326
5QQD986|2000-04-16|1170
XOI-868|2011-12-01|3640
YHW-124|2013-10-22|4470
WOT-754|1985-02-19|743
BNH-0482|1991-08-12|1489
XLA-7654|2012-05-21|3715
9MGZ998|2018-04-25|3005
QAK-065|2016-09-15|3452
AFH-5625|1972-07-24|1851
BPU-7820|2016-04-01|4549
IEJ-9088|1981-02-23|2668
LYD-564|2017-06-29|2835
NGH-414|1997-04-16|2047
DHG-964|1986-01-07|4839
CRN-2543|1984-08-26|3369
TEQ-8405|2009-03-09|3924
1YAL157|1988-04-15|1765
EZD-4830|2011-05-04|2255
ESZ-041|2013-05-31|603
DML-2592|2000-06-10|1964
AKD-3070|1970-03-11|818
DTB-380|1972-12-29|429
2AQQ343|1994-08-11|783
YTA-1523|1972-05-03|599
8WBL152|1997-10-27|1824
5PSL787|2015-09-24|1651
BKU-784|1973-03-20|4990
5XPX798|2006-12-17|4880
CLP-453|1984-02-11|3888
YVJ-6935|1975-01-08|3392
ZGH-840|2013-02-05|4211
BPB-920|1974-05-09|3473
CQM-176|2017-05-17|1377
EBJ-831|1998-07-09|1780
JEP-2812|1994-10-09|2260
XIS-469|1974-09-23|1331
1AVZ644|1975-07-01|2075
JJC-305|2003-12-15|1700
KND-2109|1996-01-04|4182
LQJ-534|1991-04-30|1971
YMI-5607|2014-08-18|864
9XDR117|1987-03-05|4455
LIB-628|2006-03-26|3224
WTZ-0591|2010-12-06|1599
ICR-0116|2015-03-25|149
YPF-344|2000-04-26|2366
5GMU125|1997-05-30|1636
AOH-009|1977-11-12|1968
FNX-923|2003-09-08|3833
BNF-601|2006-09-30|1396
QMG-112|2005-07-04|1278
7OBD693|2008-02-05|4300
VDZ-653|1977-03-29|2509
7RFX861|2018-03-09|2048
4YPU913|1998-03-27|4572
OHW-7027|1998-08-20|2271
PHI-2077|1995-06-09|2834
3GRC239|1987-08-28|150
JWX-3398|1976-02-09|4528
KHQ-408|1994-03-02|5025
2BZD624|2005-03-18|3232
CWT-639|2007-04-30|1133
MKC-9163|1975-12-24|2147
3QYC138|2003-11-22|3799
IPH-451|1982-09-08|4026
CPF-0168|1987-01-29|3450
6DRX913|2011-08-02|3635
5DRR687|2002-09-22|698
8UWP139|2017-11-10|2573
4TDW579|2011-06-22|1519
8YGS421|2000-12-29|3049
CPV-748|1996-03-17|4172
HLF-732|1974-04-11|4669
XIH-401|1972-02-07|1593
DII-0637|1996-11-13|676
TPI-392|2007-10-02|1241
ZYZ-788|2007-12-21|3055
8EOC772|1977-01-05|2623
5EZU763|1999-07-07|4932
QDF-8826|1989-12-05|5034
ONU-202|1992-09-15|2255
IRU-335|1983-10-12|4690
GEP-840|1991-09-18|2185
WRP-9819|2001-10-24|4511
RKB-441|1999-04-07|1783
WCK-6934|1997-01-31|1163
5QMF942|1974-10-17|2460
COJ-8175|1971-08-10|4703
FHM-8825|1987-04-29|426
2CUR613|2011-03-30|4217
9SER684|2001-08-25|2995
5CUP659|1975-11-02|1794
8WXD464|1987-10-23|1532
HML-2509|2005-06-19|3215
4HEQ779|2003-08-30|3559
NTY-948|2010-04-10|2964
